"quadrat","cover_2005","cover_2011","cover_2016","mean"
"N5",0,0.136507937,0.231012658,0.122506865
"N6",0,0.003205128,0.03525641,0.0128205126666667
"P1",0.025477707,0.025806452,0.038709677,0.0299979453333333
"P2",0,0,0,0
"P3",0,0.050955414,0.150159744,0.067038386
"P4",0,0.050632911,0.115755627,0.055462846
"P5",0.012618297,0.278846154,0.365079365,0.218847938666667
"PBR1",0.019230769,0.159235669,0.123417722,0.100628053333333
"PBR2",0.032154341,0.111111111,0.237942122,0.127069191333333
"PBR3",0.393650794,0.307936508,0.299363057,0.333650119666667
"PBR4",0.429936306,0.270096463,0.301587302,0.333873357
"PSG1",0.183544304,0.163987138,0.250803859,0.199445100333333
"PSG10",0.08974359,0.067307692,0.135483871,0.0975117176666667
"PSG11",0.003215434,0.06984127,0.132911392,0.068656032
"PSG12",0.025806452,0.051612903,0.121794872,0.0664047423333333
"PSG13",0.098726115,0.093548387,0.160771704,0.117682068666667
"PSG14",0.047770701,0.051948052,0.112179487,0.0706327466666667
"PSG2",0.048543689,0.105095541,0.169871795,0.107837008333333
"PSG3",0.074193548,0.111464968,0.165605096,0.117087870666667
"PSG4",0.098726115,0.090909091,0.176848875,0.122161360333333
"PSG5",0.009615385,0.022435897,0.063492063,0.0318477816666667
"PSG6",0.095238095,0.121794872,0.176282051,0.131105006
"PSG7",0.262658228,0.215873016,0.278481013,0.252337419
"PSG8",0.174603175,0.140127389,0.176282051,0.163670871666667
"PSG9",0.115384615,0.177777778,0.277070064,0.190077485666667
"R1",0,0.006472492,0.038585209,0.0150192336666667
"R2",0,0.012698413,0.015822785,0.009507066
"R3",0,0.003246753,0.022508039,0.00858493066666667
"R4",0.006430868,0.009615385,0.050793651,0.022279968
"S1",0.006349206,0.171428571,0.115015974,0.097597917
"S2",0.038461538,0.276190476,0.184126984,0.166259666
"S3",0.051282051,0.025477707,0.151419558,0.076059772
"S4",0.054140127,0.035714286,0.125401929,0.071752114
"S5",0.003154574,0.051612903,0.115384615,0.056717364
"S6",0.003174603,0.067741935,0.060702875,0.0438731376666667
"T1",0.079617834,0.00955414,0.019169329,0.0361137676666667
"T10",0.003184713,0.012698413,0.041401274,0.0190948
"T11",0,0,0.003205128,0.001068376
"T2",0.051446945,0.009615385,0.025396825,0.0288197183333333
"T3",0,0.003184713,0,0.001061571
"T4",0,0.006410256,0.047619048,0.018009768
"T5",0,0,0.018987342,0.006329114
"T6",0,0,0.025723473,0.008574491
"T7",0.031545741,0,0.006410256,0.012651999
"T8",0,0,0.003205128,0.001068376
"T9",0,0,0.003194888,0.00106496266666667
"U1",0.057877814,0.146496815,0.171428571,0.125267733333333
"U2",0.101265823,0.096463023,0.218649518,0.138792788
"U3",0.198717949,0.152597403,0.180645161,0.177320171
"U4",0.003205128,0.03164557,0.085443038,0.040097912
"U5",0,0.02866242,0.053797468,0.0274866293333333
"V1",0,0.25,0.187096774,0.145698924666667
"V2",0,0.032154341,0.105095541,0.0457499606666667
"V3",0.006369427,0.166666667,0.150641026,0.107892373333333
"V4",0.003184713,0.327922078,0.282051282,0.204386024333333
"V5",0.009677419,0.117088608,0.085987261,0.0709177626666667
"V6",0,0.162337662,0.128205128,0.0968475966666667
"Y1",0.003205128,0.016025641,0.019354839,0.0128618693333333
"Y2",0.003225806,0.012738854,0.003164557,0.00637640566666667
"Y3",0.006410256,0.012698413,0.003174603,0.00742775733333333
"Y7",0.047770701,0,0.006451613,0.0180741046666667
