"quadrat","project_year","year","month","day","total_shrub","total_grass","n_forbs","date"
"AR3","2011",2011,12,1,0.0786221801448555,0.0117027049465255,0,2011-12-01
"AR3","2016",2016,11,10,0.0735293600214621,0,1,2016-11-01
"AR4","1995",1995,10,18,0.254055831337274,0,9,1995-10-01
"AR4","2001",2001,10,30,0.619539650812988,0,7,2001-10-01
"AR4","2006",2006,11,7,0.777200329198361,0.001525,1,2006-11-01
"AR4","2011",2011,12,1,0.949187949405079,0.00387486502304323,0,2011-12-01
"AR4","2016",2016,11,10,1.00109865977046,0.000284940002504214,0,2016-11-01
"AR5","1995",1995,10,18,0.453879392571655,0,0,1995-10-01
"AR5","2001",2001,10,25,0.667974131350178,0,0,2001-10-01
"AR5","2006",2006,11,7,0.532118340430639,0.00838791499239675,0,2006-11-01
"AR5","2011",2011,12,1,0.657465675585399,0.00808940994373165,0,2011-12-01
"AR5","2016",2016,11,10,0.876588729219005,0.00181898498318285,0,2016-11-01
"B1","1995",1995,10,5,0,0.0564158233877504,0,1995-10-01
"B1","2001",2001,10,29,2.5e-05,0.0650807551546124,2,2001-10-01
"B1","2006",2006,11,9,0,0.0378024449927177,9,2006-11-01
"B1","2011",2011,9,26,0,0.105009455093559,0,2011-09-01
"B1","2016",2016,10,14,0,0.046815594999124,0,2016-10-01
"B2","1995",1995,10,5,0,0.024596124172592,17,1995-10-01
"B2","2001",2001,10,29,0,0.00625035510145094,25,2001-10-01
"B2","2006",2006,11,9,0,0.00205286499711148,45,2006-11-01
"B2","2011",2011,9,26,0,0.0397230699784778,25,2011-09-01
"B2","2016",2016,10,14,0,0.0359219099775759,31,2016-10-01
"B2A","1995",1995,10,3,0,0.0248840769706471,0,1995-10-01
"B2A","2001",2001,10,29,0,0.0243130537804767,1,2001-10-01
"B2A","2006",2006,11,9,0.00619399002731055,0.0270881100563215,1,2006-11-01
"B2A","2011",2011,9,26,0.023619179966781,0.0739018900320424,11,2011-09-01
"B2A","2016",2016,10,14,0.102219515131418,0.0135373750063385,4,2016-10-01
"B3","1995",1995,10,5,0,0.1045314127013,5,1995-10-01
"B3","2001",2001,10,29,0,0.0330265004629799,5,2001-10-01
"B3","2006",2006,11,20,0,0.0223462450242593,1,2006-11-01
"B3","2011",2011,9,29,0.0396134299890638,0.0199297700260296,4,2011-09-01
"B3","2016",2016,10,14,0.142441155250401,0.0101461449808269,0,2016-10-01
"B4","1995",1995,10,5,0,0,2,1995-10-01
"B4","2001",2001,10,29,0,0.0068424157461013,4,2001-10-01
"B4","2006",2006,11,20,0,0.00228574000914603,2,2006-11-01
"B4","2011",2011,9,29,0,0.0170127649834534,11,2011-09-01
"B4","2016",2016,10,14,0,0.00276677501732707,2,2016-10-01
"B5","1995",1995,10,5,0.0490355624104534,0,0,1995-10-01
"B5","2001",2001,10,29,0.149987922149369,0,3,2001-10-01
"B5","2006",2006,11,20,0.218590019715721,0.00560615504232541,1,2006-11-01
"B5","2011",2011,9,29,0.273643334920711,0.0145844800351267,0,2011-09-01
"B5","2016",2016,10,14,0.15766204499824,0.00710572499559037,0,2016-10-01
"G1","1995",1995,10,17,0,0.00307238105004458,33,1995-10-01
"G1","2001",2001,10,10,0,0.00974086420648574,8,2001-10-01
"G1","2006",2006,11,30,0.000529490004070326,0.0116502999655463,6,2006-11-01
"G1","2011",2011,11,1,0,2.5e-05,7,2011-11-01
"G1","2016",2016,9,15,0,0.00197289497646458,31,2016-09-01
"G2","1995",1995,10,17,0,0.0166074375066603,20,1995-10-01
"G2","2001",2001,10,11,0,1e-04,10,2001-10-01
"G2","2006",2006,11,30,0,0.00258898497586265,25,2006-11-01
"G2","2011",2011,11,1,0,0.00350432999110975,2,2011-11-01
"G2","2016",2016,9,15,0,2.5e-05,5,2016-09-01
"G3","1995",1995,10,17,0.985890774320426,1e-04,0,1995-10-01
"G3","2001",2001,10,12,0.999839541298972,0,0,2001-10-01
"G3","2006",2006,11,27,1.00184825965229,0.00898071995565363,0,2006-11-01
"G3","2011",2011,11,1,1.00739106093641,0,0,2011-11-01
"G3","2016",2016,9,15,1.0086485902095,0,0,2016-09-01
"G4","1995",1995,10,17,0,0.00721375705971798,9,1995-10-01
"G4","2001",2001,10,12,2.5e-05,0.00442514629676415,17,2001-10-01
"G4","2006",2006,11,27,0.00163752501011305,0.00570998994687408,12,2006-11-01
"G4","2011",2011,11,1,0,0,1,2011-11-01
"G4","2016",2016,9,15,0,0.0021259249922473,0,2016-09-01
"G5","1995",1995,10,17,0,0.00045,4,1995-10-01
"G5","2001",2001,10,12,0,0,0,2001-10-01
"G5","2006",2006,11,27,0,0.00123432502424456,0,2006-11-01
"G5","2011",2011,11,15,0,0.00437975998196542,0,2011-11-01
"G5","2016",2016,9,15,0,0,0,2016-09-01
"G6","1995",1995,10,17,0,0.00446558737421638,6,1995-10-01
"G6","2001",2001,10,12,2.5e-05,2.5e-05,5,2001-10-01
"G6","2006",2006,11,27,2.5e-05,0.018895410019925,10,2006-11-01
"G6","2011",2011,11,1,0,0,0,2011-11-01
"G6","2016",2016,9,15,0,0,1,2016-09-01
"H1","1995",1995,10,16,0,0.0124976876381922,38,1995-10-01
"H1","2001",2001,11,8,0,0.00522451324717597,20,2001-11-01
"H1","2006",2006,11,20,0,0.0184251100163901,5,2006-11-01
"H1","2011",2011,10,11,0.0202932500779275,0.0212743350119916,23,2011-10-01
"H1","2016",2016,9,20,0,0.000387864998527095,6,2016-09-01
"H2","1995",1995,10,16,0.152378592521869,0.184977719275452,5,1995-10-01
"H2","2001",2001,11,8,0.173847504743296,0,1,2001-11-01
"H2","2006",2006,11,20,0.345596975190395,0.00223114502000764,1,2006-11-01
"H2","2011",2011,10,11,0.570602734878716,0.00577372000905193,8,2011-10-01
"H2","2016",2016,9,20,0.264897159874235,7.68900031714141e-05,2,2016-09-01
"H3","1995",1995,10,16,0.0654989137776412,0.0306631730099969,20,1995-10-01
"H3","2001",2001,11,8,0.0507572120167333,0.0117529749370636,12,2001-11-01
"H3","2006",2006,11,20,0.169960235293472,0.00601602001677222,6,2006-11-01
"H3","2011",2011,10,11,0.628242084607982,0.00772944493376866,10,2011-10-01
"H3","2016",2016,9,20,0.485772079953995,0.00718390992786564,20,2016-09-01
"I1","1995",1995,10,5,0,0.00356040089341125,4,1995-10-01
"I1","2001",2001,10,9,0,0.002512620070549,2,2001-10-01
"I1","2006",2006,10,23,2.5e-05,0.00288030500763439,2,2006-10-01
"I1","2011",2011,9,19,0.0526618449416894,0.00405039004552052,0,2011-09-01
"I1","2016",2016,9,9,0.0104442250139859,0.00118311499031097,0,2016-09-01
"I2","1995",1995,10,5,0,0.0178254786211446,7,1995-10-01
"I2","2001",2001,10,9,0,0.0213745917588088,6,2001-10-01
"I2","2006",2006,10,25,0.000503680001653432,0.0240314850365477,12,2006-10-01
"I2","2011",2011,9,28,0,0.000469255006992146,32,2011-09-01
"I2","2016",2016,9,9,0,0,31,2016-09-01
"I3","1995",1995,10,3,0,0.0919498579779304,0,1995-10-01
"I3","2001",2001,10,9,0,0.132664438701853,0,2001-10-01
"I3","2006",2006,10,25,0,0.216674844933053,0,2006-10-01
"I3","2011",2011,9,19,0,0.152387104906161,0,2011-09-01
"I3","2016",2016,9,9,0,0.0804012549517778,0,2016-09-01
"I4","1995",1995,10,5,0,0.0478034123289282,10,1995-10-01
"I4","2001",2001,10,9,0,0.010765431346593,6,2001-10-01
"I4","2006",2006,10,25,0.0498158852378146,0.0436122599865196,7,2006-10-01
"I4","2011",2011,9,27,0.00658806500757992,0.00149281499502756,0,2011-09-01
"I4","2016",2016,9,9,0.183114609909431,0.00113413999614179,0,2016-09-01
"I5","1995",1995,10,12,0,0.00199980985312289,19,1995-10-01
"I5","2001",2001,11,5,0,0,8,2001-11-01
"I5","2006",2006,12,1,0.00129675502159528,0.00306842000633657,5,2006-12-01
"I5","2011",2011,9,30,0,0,1,2011-09-01
"I5","2016",2016,12,1,0,0,0,2016-12-01
"I6","1995",1995,10,12,0,0.000555323654563028,25,1995-10-01
"I6","2001",2001,11,5,0,0.00319384508176958,23,2001-11-01
"I6","2006",2006,12,1,0,0.00482341500347577,7,2006-12-01
"I6","2011",2011,10,11,0,0.0231770549021212,15,2011-10-01
"I6","2016",2016,9,20,0,0.000560225000790878,13,2016-09-01
"I7","1995",1995,10,12,0.021575705958409,0.00876114992706619,20,1995-10-01
"I7","2001",2001,11,5,0.0631947767622057,0.00216030921243643,14,2001-11-01
"I7","2006",2006,12,1,0.154257990044008,0.00127578998511568,6,2006-12-01
"I7","2011",2011,10,11,0.0507274899471162,0.0115651500410553,28,2011-10-01
"I7","2016",2016,9,20,0.15988577498295,5e-05,26,2016-09-01
"J1","1995",1995,10,10,0.0482456001183932,0.00201045113283599,10,1995-10-01
"J1","2001",2001,11,8,0.299314174926279,0,1,2001-11-01
"J1","2006",2006,11,21,0.426401044948068,0.00209436503050685,1,2006-11-01
"J1","2011",2012,2,1,0.258492569823472,0,0,2012-02-01
"J1","2016",2016,11,2,0.537899815163051,0,0,2016-11-01
"J22","1995",1995,10,16,0,0.0279478723200199,15,1995-10-01
"J22","2001",2001,11,6,0,0.0157451129789254,6,2001-11-01
"J22","2006",2006,11,29,0.0519905749427539,0.0146075899713261,23,2006-11-01
"J22","2011",2011,10,26,0.016322155078863,0.00657845000425093,12,2011-10-01
"J22","2016",2016,10,4,0.151649254870749,0.00874870999180987,3,2016-10-01
"J8","1995",1995,10,24,0,0.00772289893478187,6,1995-10-01
"J8","2001",2001,11,8,0,0.00461495276163039,5,2001-11-01
"J8","2006",2006,12,1,0.000866310007824152,0.00309616998320997,13,2006-12-01
"J8","2011",2012,2,1,0.0709581348968314,0,5,2012-02-01
"J8","2016",2016,12,1,0.190821329993284,0,22,2016-12-01
"J9","1995",1995,10,16,0,0.00635920922551468,2,1995-10-01
"J9","2001",2001,11,6,0,0,1,2001-11-01
"J9","2006",2006,11,29,0,0.00112968497546814,1,2006-11-01
"J9","2011",2011,10,26,0,0.00302642002865665,0,2011-10-01
"J9","2016",2016,10,4,0,0.000109329996706992,0,2016-10-01
"K1","1995",1995,10,16,0,0.110263523375286,3,1995-10-01
"K1","2001",2001,10,10,0.00136126374206364,0.013071196440708,0,2001-10-01
"K1","2006",2006,11,3,2.5e-05,0.0257540250703771,0,2006-11-01
"K1","2011",2012,1,27,0,0,0,2012-01-01
"K1","2016",2016,11,17,0,0.00706472000158459,7,2016-11-01
"K2","1995",1995,10,16,0,0.0138586409296763,3,1995-10-01
"K2","2001",2001,11,5,0.00281325443690072,0.0462921074425928,17,2001-11-01
"K2","2006",2006,12,11,0.0462783150908104,0.00832974500446125,7,2006-12-01
"K2","2011",2012,1,13,0.0848780301301957,0,0,2012-01-01
"K2","2016",2016,11,17,0.174728830185779,0,18,2016-11-01
"K3","1995",1995,10,16,0.247524812380422,0.00728797560492623,37,1995-10-01
"K3","2001",2001,10,16,0.050242013743026,0.00300227100449571,16,2001-10-01
"K3","2006",2006,11,17,0.0534886899711373,0.0101736750567023,7,2006-11-01
"K3","2011",2012,1,13,0.0844237299143956,0,0,2012-01-01
"K3","2016",2016,11,17,0.145378544812355,0.00471817503678501,1,2016-11-01
"K4","1995",1995,10,16,0.437085717193998,0,0,1995-10-01
"K4","2001",2001,11,5,0.716032743635395,0,0,2001-11-01
"K4","2006",2007,2,22,0.633289340120875,0,0,2007-02-01
"K4","2011",2012,1,13,0.402222250082265,0,0,2012-01-01
"K4","2016",2016,10,25,0.807003540092188,0,0,2016-10-01
"L1","1995",1995,10,12,0,0.00413745084961956,16,1995-10-01
"L1","2001",2001,10,17,0,0.00130771062482385,12,2001-10-01
"L1","2006",2006,11,30,0,0.0024187249980826,11,2006-11-01
"L1","2011",2011,11,17,0,0.00198993998346798,0,2011-11-01
"L1","2016",2016,10,12,0,0.00246680999066547,8,2016-10-01
"L2","1995",1995,10,12,0,8e-04,33,1995-10-01
"L2","2001",2001,10,17,0,0,4,2001-10-01
"L2","2006",2006,11,30,0,0,21,2006-11-01
"L2","2011",2011,11,17,0,0,5,2011-11-01
"L2","2016",2016,10,12,0,0,4,2016-10-01
"L3","1995",1995,10,12,0,0.051478958626321,5,1995-10-01
"L3","2001",2001,10,17,0,0.0751643887419026,18,2001-10-01
"L3","2006",2006,11,29,0,0.0624603498378504,7,2006-11-01
"L3","2011",2011,11,17,0,0.0287367300266907,0,2011-11-01
"L3","2016",2016,10,12,0,0.0610190199511196,1,2016-10-01
"L4","1995",1995,10,12,0,0.13505909564905,19,1995-10-01
"L4","2001",2001,10,17,0,0.120549279998943,9,2001-10-01
"L4","2006",2006,11,29,0.0016564950236614,0.11178688002036,28,2006-11-01
"L4","2011",2011,11,17,0,0.0230166649297839,26,2011-11-01
"L4","2016",2016,10,12,0,0.00786834999535196,20,2016-10-01
"L5","1995",1995,10,24,0.000313263993324453,0,0,1995-10-01
"L5","2001",2001,10,17,0,0,0,2001-10-01
"L5","2006",2006,12,13,0.0262981849102402,0,2,2006-12-01
"L5","2011",2012,1,27,0,0,0,2012-01-01
"L5","2016",2016,10,12,0,0,2,2016-10-01
"M6","1995",1995,10,24,0.0444158332928961,0,1,1995-10-01
"M6","2001",2001,10,19,0,0,0,2001-10-01
"M6","2006",2006,11,30,0.0286211899327575,0,0,2006-11-01
"M6","2011",2012,1,26,0,0,20,2012-01-01
"M6","2016",2016,9,20,0,0,1,2016-09-01
"N1","1995",1995,10,11,0,0.0967756467197,4,1995-10-01
"N1","2001",2001,11,7,0,0.0234397384739999,0,2001-11-01
"N1","2006",2006,12,4,0,0.0241298501489718,7,2006-12-01
"N1","2011",2011,9,29,0,0.0259744249352243,0,2011-09-01
"N1","2016",2016,12,15,0,0.0155935350110215,5,2016-12-01
"N3","1995",1995,10,12,0,0.0257153963137498,4,1995-10-01
"N3","2001",2001,11,6,0,0.0279835946657677,3,2001-11-01
"N3","2006",2006,12,4,0,0.00968949505776272,2,2006-12-01
"N3","2011",2012,2,1,0,0.0182796150130985,0,2012-02-01
"N3","2016",2016,12,13,0,0,16,2016-12-01
"N3A","1995",1995,10,12,0.00148689109107321,0.0198787983287348,58,1995-10-01
"N3A","2001",2001,11,6,0.00218982379819082,0.0469097900804918,37,2001-11-01
"N3A","2006",2006,12,4,0.0346403699283163,0.00332029000561782,37,2006-12-01
"N3A","2011",2012,2,1,0,0.00246961500083305,7,2012-02-01
"N3A","2016",2016,12,15,0.273468800228237,0.000175025006061793,31,2016-12-01
"N4","1995",1995,10,11,0,0.0492464502639173,13,1995-10-01
"N4","2001",2001,11,7,0,0.0377900842415617,10,2001-11-01
"N4","2006",2006,12,4,0,0.0064467500573285,44,2006-12-01
"N4","2011",2011,9,29,0,0.00342512000941776,1,2011-09-01
"N4","2016",2016,12,15,0,2.5e-05,16,2016-12-01
"N5","1995",1995,10,11,0.138264030317869,0.0257700812963768,5,1995-10-01
"N5","2001",2001,11,15,0.732642776254397,0.00158688158386768,3,2001-11-01
"N5","2006",2006,12,4,0.988631934126048,0.0370137700088634,8,2006-12-01
"N5","2011",2012,2,1,0.632170504489214,0,0,2012-02-01
"N5","2016",2016,12,15,1.00509905971998,0.00997760501410671,64,2016-12-01
"N6","1995",1995,10,11,0,0.025015572942427,12,1995-10-01
"N6","2001",2001,11,15,0.000500025460805232,0.0102959701929596,7,2001-11-01
"N6","2006",2006,12,4,0,0.0131422200430564,16,2006-12-01
"N6","2011",2012,2,1,0,0.00822163995227651,7,2012-02-01
"N6","2016",2016,12,13,0,0,12,2016-12-01
"P1","1995",1995,10,11,0,0.353943247573002,43,1995-10-01
"P1","2001",2001,11,7,0,0.351808332981375,10,2001-11-01
"P1","2006",2006,12,5,0,0.238039570044981,9,2006-12-01
"P1","2011",2012,1,25,2.5e-05,0.0443619100414461,0,2012-01-01
"P1","2016",2016,12,13,0,0.0494234099418857,0,2016-12-01
"P2","1995",1995,10,11,0.0964223677701791,0.254195261805857,2,1995-10-01
"P2","2001",2001,10,24,0.076911484715234,0.139161238689366,0,2001-10-01
"P2","2006",2006,12,5,0.0622608350803023,0.0371679248918358,0,2006-12-01
"P2","2011",2012,1,25,0.0459102700969833,0.104712614911692,0,2012-01-01
"P2","2016",2016,12,13,0,0.149101949819497,0,2016-12-01
"P3","1995",1995,10,11,0.00778414987293589,0.223594311015186,3,1995-10-01
"P3","2001",2001,11,7,0,0.139736702535674,0,2001-11-01
"P3","2006",2006,12,5,0,0.115630664876399,0,2006-12-01
"P3","2011",2012,1,25,0,0.174120955079447,1,2012-01-01
"P3","2016",2016,12,13,0,0.116407595103278,0,2016-12-01
"P4","1995",1995,10,11,0,0.294389697942175,10,1995-10-01
"P4","2001",2001,11,7,0,0.23866059097806,6,2001-11-01
"P4","2006",2006,12,5,0,0.188131655211431,5,2006-12-01
"P4","2011",2012,1,25,0,0.0144973999977507,0,2012-01-01
"P4","2016",2016,12,13,0,0.0370766950463022,0,2016-12-01
"P5","1995",1995,10,24,0.833674031544679,0.0215875466355783,2,1995-10-01
"P5","2001",2001,11,7,1.09904103487875,0.0409984219971793,0,2001-11-01
"P5","2006",2006,12,5,1.0050376011993,0.00444205503928632,1,2006-12-01
"P5","2011",2012,1,25,0.990230735792908,0.0041319450488615,0,2012-01-01
"P5","2016",2016,12,13,0.946725374219302,0.00159088000053063,0,2016-12-01
"R1","1995",1995,10,16,0,0.0136691521836125,6,1995-10-01
"R1","2001",2001,11,6,0,0.0112551327527469,6,2001-11-01
"R1","2006",2006,11,29,0.00129962499140203,0.00349668000066251,18,2006-11-01
"R1","2011",2011,10,26,0,0.000364710015448705,3,2011-10-01
"R1","2016",2016,10,4,0,7.3394995394647e-05,4,2016-10-01
"R2","1995",1995,10,16,0,0.0154452113095159,5,1995-10-01
"R2","2006",2006,12,1,0,0.0156215599868675,10,2006-12-01
"R2","2011",2011,10,26,0,0,0,2011-10-01
"R2","2016",2016,10,4,0,0,0,2016-10-01
"R3","1995",1995,10,16,0,0.00450663405542781,17,1995-10-01
"R3","2001",2001,11,6,0,2.5e-05,20,2001-11-01
"R3","2006",2006,12,1,0,0.0192679998314641,19,2006-12-01
"R3","2011",2011,10,26,0,0.00683278995951734,0,2011-10-01
"R3","2016",2016,10,3,0,0,11,2016-10-01
"R4","1995",1995,10,16,0,0.00689403008007186,38,1995-10-01
"R4","2001",2001,11,6,0,0.0140321954554608,21,2001-11-01
"R4","2006",2006,12,1,0,0.00942328001687982,11,2006-12-01
"R4","2011",2011,10,26,0,0.00515064999350756,0,2011-10-01
"R4","2016",2016,10,4,0,0.000744635006585866,14,2016-10-01
"T1","1995",1995,10,13,0,0.00763040584448011,0,1995-10-01
"T1","2001",2001,11,1,0,0.00206151136048929,0,2001-11-01
"T1","2006",2006,11,16,0,0.00071524000880517,0,2006-11-01
"T1","2011",2012,1,5,0,0.0116786549788744,0,2012-01-01
"T1","2016",2016,12,8,0,0.0274514800245878,10,2016-12-01
"T10","1995",1995,10,23,0.0536522000164645,0.0802278875537066,1,1995-10-01
"T10","2001",2001,10,10,0.0178570533012727,0.30626443323754,0,2001-10-01
"T10","2006",2006,11,14,0,0.130864719884378,0,2006-11-01
"T10","2011",2011,11,15,0.0408243750600051,0.0945558249549244,0,2011-11-01
"T10","2016",2016,11,29,0.166998724974809,0.0175370000114776,0,2016-11-01
"T11","1995",1995,10,23,0,0.173724579254975,4,1995-10-01
"T11","2001",2001,10,10,0,0.163428001450207,2,2001-10-01
"T11","2006",2006,11,14,2.5e-05,0.0656653150690398,9,2006-11-01
"T11","2011",2011,11,15,0,0.100321794945557,0,2011-11-01
"T11","2016",2016,11,29,0,0.029991785032008,0,2016-11-01
"T2","1995",1995,10,13,0.413000946082743,0.339502687746757,0,1995-10-01
"T2","2001",2001,11,1,0.23631961823709,0.199544887657352,0,2001-11-01
"T2","2006",2006,11,16,0.20178758506225,0.119876669895839,0,2006-11-01
"T2","2011",2012,1,5,0.358443845139376,0.134290129918142,0,2012-01-01
"T2","2016",2016,12,8,0.271713419940296,0.0491522297523753,0,2016-12-01
"T3","1995",1995,10,13,0,0.17574933577496,0,1995-10-01
"T3","2001",2001,11,1,0,0.300803088765146,0,2001-11-01
"T3","2006",2006,11,16,0,0.171942575102805,0,2006-11-01
"T3","2011",2012,1,5,0,0.153122149794408,0,2012-01-01
"T3","2016",2016,12,8,0,0.0421284551497065,0,2016-12-01
"T4","1995",1995,10,3,0,0.0497593711712952,6,1995-10-01
"T4","2001",2001,11,1,0.00121773880439084,0.258294185185874,27,2001-11-01
"T4","2006",2006,11,16,0,0.176380664817586,38,2006-11-01
"T4","2011",2012,1,5,0,0.187079985036754,3,2012-01-01
"T4","2016",2016,12,8,0,0.116571774897615,3,2016-12-01
"T5","1995",1995,10,13,0,0.0246230089116762,5,1995-10-01
"T5","2001",2001,11,1,0,0.0354018723740335,3,2001-11-01
"T5","2006",2006,11,16,0,0.0380860650475765,1,2006-11-01
"T5","2011",2012,1,5,0,0.0324379249658201,0,2012-01-01
"T5","2016",2016,11,29,0,0.0133845100915094,0,2016-11-01
"T6","1995",1995,10,13,0,0.104055918011264,6,1995-10-01
"T6","2001",2001,11,1,2.5e-05,0.115748030259705,1,2001-11-01
"T6","2006",2006,11,16,0,0.0620897600573746,1,2006-11-01
"T6","2011",2012,1,5,0,0.0615619101014697,0,2012-01-01
"T6","2016",2016,11,29,0,0.0279004100023789,0,2016-11-01
"T7","1995",1995,10,17,2.5e-05,0.304323900170512,0,1995-10-01
"T7","2001",2001,10,11,0,0.308601509798327,1,2001-10-01
"T7","2006",2006,12,7,2.5e-05,0.0609066950094777,6,2006-12-01
"T7","2011",2011,11,1,0,0.0994812349513893,0,2011-11-01
"T7","2016",2016,12,1,0,0.0671128251087453,0,2016-12-01
"T8","1995",1995,10,17,0,0.322643017006268,0,1995-10-01
"T8","2001",2001,10,12,0,0.370076684486459,2,2001-10-01
"T8","2006",2006,12,7,0,0.0323916800593731,0,2006-12-01
"T8","2011",2011,11,17,0,0.0701459649445115,0,2011-11-01
"T8","2016",2016,12,1,0,0.0265431751006737,0,2016-12-01
"T9","1995",1995,10,17,0,0.405501510095636,3,1995-10-01
"T9","2001",2001,10,11,0,0.358186445653115,0,2001-10-01
"T9","2006",2006,11,27,0,0.0627685198488827,1,2006-11-01
"T9","2011",2011,11,17,0,0.0790328600148795,0,2011-11-01
"T9","2016",2016,11,29,0,0.00860836002216801,0,2016-11-01
"U1","1995",1995,10,10,0,0.00807827343536135,6,1995-10-01
"U1","2001",2001,11,8,0,0.00371452079164148,2,2001-11-01
"U1","2006",2006,11,21,0.0228060149534407,0.00123317502484545,12,2006-11-01
"U1","2011",2011,9,28,0.0142205150687421,0.00714530995106749,16,2011-09-01
"U1","2016",2016,11,2,0.0349448400189745,2.5e-05,6,2016-11-01
"U2","1995",1995,10,10,0,0.00309718915425968,13,1995-10-01
"U2","2001",2001,11,8,0.0832352634710528,0,7,2001-11-01
"U2","2006",2006,11,21,0.0187776649983498,0.0124051450255472,0,2006-11-01
"U2","2011",2011,9,28,0.192133455042334,0.00855272501691208,2,2011-09-01
"U2","2016",2016,11,2,0.26277008521805,0.000613625001719221,1,2016-11-01
"U3","1995",1995,10,10,0,0.0143474056374307,2,1995-10-01
"U3","2001",2001,11,8,0.0249155204376581,0.00154755343075185,2,2001-11-01
"U3","2006",2006,11,21,0.0487491299112671,0.000195860003914088,3,2006-11-01
"U3","2011",2011,9,28,0.0182241949971004,0,0,2011-09-01
"U3","2016",2016,11,2,0.0470923499703441,0,2,2016-11-01
"U4","1995",1995,10,10,0,0.0310505315182932,20,1995-10-01
"U4","2001",2001,11,15,0,0.0515943041638483,11,2001-11-01
"U4","2006",2006,11,21,0,0.0281078300413844,19,2006-11-01
"U4","2011",2011,9,28,0,0.00263724501497589,2,2011-09-01
"U4","2016",2016,11,2,0,0.00280138502709918,17,2016-11-01
"U5","1995",1995,10,10,0,0.0248198651446505,17,1995-10-01
"U5","2001",2001,11,15,0,0.0099639983358035,8,2001-11-01
"U5","2006",2006,11,21,0,0.0421536449786289,6,2006-11-01
"U5","2011",2011,9,28,0,0.0692642951041701,3,2011-09-01
"U5","2016",2016,11,2,0,0.0186007849810814,11,2016-11-01
"V1","1995",1995,10,19,0.536469767434365,0.00304854929381099,3,1995-10-01
"V1","2001",2001,11,14,0.77102791513503,0,10,2001-11-01
"V1","2006",2006,12,13,0.73614333520374,0.00157519000047207,20,2006-12-01
"V1","2011",2012,1,3,0.529346584553671,0,13,2012-01-01
"V1","2016",2016,12,6,0.564053839693587,0,4,2016-12-01
"V2","1995",1995,10,19,0.314357185119852,0.0012194558341756,2,1995-10-01
"V2","2001",2001,10,23,0.237259356149195,0.0339457630268693,0,2001-10-01
"V2","2006",2006,12,7,0.228697229962985,0.012630244961179,0,2006-12-01
"V2","2011",2012,1,3,0.0167409599628197,0.00641063500410109,0,2012-01-01
"V2","2016",2016,12,6,0.0337174798746281,0.000870834993521646,0,2016-12-01
"V3","1995",1995,10,19,0,0,1,1995-10-01
"V3","2001",2001,11,14,0,0,0,2001-11-01
"V3","2006",2006,12,7,0,0,0,2006-12-01
"V3","2011",2012,1,3,0,0,0,2012-01-01
"V3","2016",2016,12,6,0,0,0,2016-12-01
"V4","1995",1995,10,19,0.168380775188494,0,0,1995-10-01
