"quadrat","project_year","year","month","species","count","cover","form","category","present","day"
"A1",1926,1926,9,"EUPHO",4,1e-04,"","",1,15
"A1",1926,1926,9,"EVNU",3,7.5e-05,"FORB","PerennialForb",1,15
"A1",1926,1926,9,"HAPLO11",1,2.5e-05,"","",1,15
"A1",1926,1926,9,"PEAM",1,2.5e-05,"FORB","PerennialForb",1,15
"A1",1926,1926,9,"PLANT",3,7.5e-05,"","",1,15
"A1",1927,1927,9,"ALIN",1,2.5e-05,"FORB","PerennialForb",1,1
"A1",1927,1927,9,"ARIST",1,0.0044705,"GRASS","",1,1
"A1",1927,1927,9,"BOER4",32,0.03515745,"GRASS","Cover",1,1
"A1",1927,1927,9,"CYPER",1,2.5e-05,"GRASS","",1,1
"A1",1927,1927,9,"DANA",2,5e-05,"FORB","PerennialForb",1,1
"A1",1927,1927,9,"EUPHO",7,0.000175,"","",1,1
"A1",1927,1927,9,"EVNU",5,0.000125,"FORB","PerennialForb",1,1
"A1",1927,1927,9,"SEBA3",3,7.5e-05,"FORB","PerennialForb",1,1
"A1",1928,1928,9,"ARIST",2,0.0052922,"GRASS","",1,18
"A1",1928,1928,9,"BOER4",29,0.04096617,"GRASS","Cover",1,18
"A1",1928,1928,9,"CYPER",1,2.5e-05,"GRASS","",1,18
"A1",1928,1928,9,"EUPHO",6,0.00015,"","",1,18
"A1",1928,1928,9,"SEBA3",2,5e-05,"FORB","PerennialForb",1,18
"A1",1929,1929,9,"ARIST",7,0.01302328,"GRASS","",1,25
"A1",1929,1929,9,"BOER4",25,0.07654482,"GRASS","Cover",1,25
"A1",1929,1929,9,"DANA",1,2.5e-05,"FORB","PerennialForb",1,25
"A1",1929,1929,9,"EUPHO",11,0.000275,"","",1,25
"A1",1929,1929,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,25
"A1",1930,1930,8,"ARIST",9,0.01841719,"GRASS","",1,29
"A1",1930,1930,8,"BOER4",20,0.05791981,"GRASS","Cover",1,29
"A1",1930,1930,8,"EUPHO",20,5e-04,"","",1,29
"A1",1930,1930,8,"EVNU",4,1e-04,"FORB","PerennialForb",1,29
"A1",1930,1930,8,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,29
"A1",1931,1931,9,"ARIST",14,0.01931422,"GRASS","",1,28
"A1",1931,1931,9,"BOER4",33,0.04372025,"GRASS","Cover",1,28
"A1",1931,1931,9,"DANA",1,2.5e-05,"FORB","PerennialForb",1,28
"A1",1931,1931,9,"EUPHO",36,9e-04,"","",1,28
"A1",1931,1931,9,"EVNU",3,7.5e-05,"FORB","PerennialForb",1,28
"A1",1931,1931,9,"HAPLO11",1,2.5e-05,"","",1,28
"A1",1932,1932,9,"ARIST",11,0.02291161,"GRASS","",1,28
"A1",1932,1932,9,"BOER4",40,0.04377681,"GRASS","Cover",1,28
"A1",1932,1932,9,"DANA",2,5e-05,"FORB","PerennialForb",1,28
"A1",1932,1932,9,"EUPHO",26,0.00065,"","",1,28
"A1",1932,1932,9,"EVNU",5,0.000125,"FORB","PerennialForb",1,28
"A1",1932,1932,9,"HAPLO11",1,2.5e-05,"","",1,28
"A1",1933,1933,10,"ARIST",8,0.0293962,"GRASS","",1,17
"A1",1933,1933,10,"BOER4",33,0.04637352,"GRASS","Cover",1,17
"A1",1933,1933,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,17
"A1",1933,1933,10,"EUPHO",3,7.5e-05,"","",1,17
"A1",1933,1933,10,"EVNU",5,0.000125,"FORB","PerennialForb",1,17
"A1",1934,1934,10,"ARIST",8,0.01307904,"GRASS","",1,31
"A1",1934,1934,10,"BOER4",20,0.01096407,"GRASS","Cover",1,31
"A1",1934,1934,10,"EUPHO",4,1e-04,"","",1,31
"A1",1934,1934,10,"EVNU",2,5e-05,"FORB","PerennialForb",1,31
"A1",1934,1934,10,"POJA5",1,2.5e-05,"FORB","PerennialForb",1,31
"A1",1934,1934,10,"SEBA3",2,5e-05,"FORB","PerennialForb",1,31
"A1",1935,1935,10,"ARIST",2,0.0007985,"GRASS","",1,9
"A1",1935,1935,10,"BOER4",10,0.003912,"GRASS","Cover",1,9
"A1",1935,1935,10,"CYPER",4,1e-04,"GRASS","",1,9
"A1",1935,1935,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,9
"A1",1935,1935,10,"EUPHO",8,2e-04,"","",1,9
"A1",1935,1935,10,"EVNU",3,7.5e-05,"FORB","PerennialForb",1,9
"A1",1936,1936,10,"ARIST",3,0.0017025,"GRASS","",1,23
"A1",1936,1936,10,"BOER4",23,0.0123623,"GRASS","Cover",1,23
"A1",1936,1936,10,"BOUTE",1,2.5e-05,"GRASS","",1,23
"A1",1936,1936,10,"DANA",2,5e-05,"FORB","PerennialForb",1,23
"A1",1936,1936,10,"EUPHO",14,0.00035,"","",1,23
"A1",1936,1936,10,"EVNU",4,1e-04,"FORB","PerennialForb",1,23
"A1",1936,1936,10,"PECTI",1,2.5e-05,"","",1,23
"A1",1936,1936,10,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,23
"A1",1937,1937,10,"ARIST",1,0.000192,"GRASS","",1,15
"A1",1937,1937,10,"BOER4",8,0.0175999,"GRASS","Cover",1,15
"A1",1937,1937,10,"BOUTE",1,2.5e-05,"GRASS","",1,15
"A1",1937,1937,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,15
"A1",1937,1937,10,"EUPHO",10,0.00025,"","",1,15
"A1",1937,1937,10,"EVNU",2,5e-05,"FORB","PerennialForb",1,15
"A1",1937,1937,10,"HAPLO11",1,2.5e-05,"","",1,15
"A1",1938,1938,9,"ARIST",1,0.0008275,"GRASS","",1,23
"A1",1938,1938,9,"BOER4",14,0.0159685,"GRASS","Cover",1,23
"A1",1938,1938,9,"BOUTE",8,2e-04,"GRASS","",1,23
"A1",1938,1938,9,"EUPHO",1,2.5e-05,"","",1,23
"A1",1938,1938,9,"PECTI",16,4e-04,"","",1,23
"A1",1939,1940,1,"ARIST",1,0.0002814,"GRASS","",1,9
"A1",1939,1940,1,"BOER4",12,0.0251431,"GRASS","Cover",1,9
"A1",1939,1940,1,"OENOT",1,2.5e-05,"","",1,9
"A1",1940,1941,2,"ARIST",1,0.0004525,"GRASS","",1,11
"A1",1940,1941,2,"BOER4",23,0.039178,"GRASS","Cover",1,11
"A1",1941,1942,1,"ARIST",1,0.00246225,"GRASS","",1,8
"A1",1941,1942,1,"BOER4",33,0.0496423,"GRASS","Cover",1,8
"A1",1942,1942,10,"ARIST",3,0.008631,"GRASS","",1,9
"A1",1942,1942,10,"BOER4",31,0.0413515,"GRASS","Cover",1,9
"A1",1942,1942,10,"ERIOG",4,1e-04,"","",1,9
"A1",1943,1943,12,"ARIST",11,0.005218,"GRASS","",1,17
"A1",1943,1943,12,"BOER4",48,0.035281,"GRASS","Cover",1,17
"A1",1943,1943,12,"BOUTE",5,0.000125,"GRASS","",1,17
"A1",1944,1944,9,"ARIST",1,0.003031,"GRASS","",1,23
"A1",1944,1944,9,"BOER4",46,0.0475055,"GRASS","Cover",1,23
"A1",1944,1944,9,"ERIOG",2,5e-05,"","",1,23
"A1",1944,1944,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,23
"A1",1945,1945,9,"ARIST",1,0.005185,"GRASS","",1,20
"A1",1945,1945,9,"BOER4",38,0.057863,"GRASS","Cover",1,20
"A1",1945,1945,9,"ERIOG",2,5e-05,"","",1,20
"A1",1945,1945,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,20
"A1",1946,1947,2,"ARIST",2,0.003659,"GRASS","",1,17
"A1",1946,1947,2,"BOER4",36,0.057407,"GRASS","Cover",1,17
"A1",1947,1947,9,"ARIST",2,0.0025835,"GRASS","",1,26
"A1",1947,1947,9,"BOER4",40,0.0671599,"GRASS","Cover",1,26
"A1",1947,1947,9,"ERIOG",3,7.5e-05,"","",1,26
"A1",1947,1947,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,26
"A1",1949,1949,9,"BOER4",36,0.0584107,"GRASS","Cover",1,1
"A1",1949,1949,9,"ERIOG",2,5e-05,"","",1,1
"A1",1949,1949,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,1
"A1",1950,1950,11,"BOER4",28,0.05157935,"GRASS","Cover",1,2
"A1",1950,1950,11,"ERIOG",2,5e-05,"","",1,2
"A1",1950,1950,11,"SEBA3",2,5e-05,"FORB","PerennialForb",1,2
"A1",1951,1951,8,"BOER4",10,0.05948325,"GRASS","Cover",1,24
"A1",1952,1952,9,"BOER4",4,0.0017515,"GRASS","Cover",1,18
"A1",1956,1956,8,"ALIN",11,0.000275,"FORB","PerennialForb",1,17
"A1",1956,1956,8,"BOER4",4,0.0099905,"GRASS","Cover",1,17
"A1",1956,1956,8,"SOEL",4,1e-04,"FORB","PerennialForb",1,17
"A1",1957,1957,8,"BOER4",3,0.004221,"GRASS","Cover",1,13
"A1",1957,1957,8,"EUPHO",4,1e-04,"","",1,13
"A1",1958,1958,9,"EUPHO",6,0.00015,"","",1,25
"A1",1958,1958,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,25
"A1",1959,1959,9,"EUPHO",6,0.00015,"","",1,17
"A1",1959,1959,9,"PECTI",2,5e-05,"","",1,17
"A1",1960,1960,8,"SEBA3",2,5e-05,"FORB","PerennialForb",1,19
"A1",1961,1961,9,NA,NA,NA,NA,NA,0,15
"A1",1965,1965,10,"SPORO",2,0.01472983,"GRASS","Cover",1,22
"A1",1966,1966,10,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,20
"A1",1966,1966,10,"SPORO",19,0.01039177,"GRASS","Cover",1,20
"A1",1968,1968,8,"PECTI",320,0.008,"","",1,13
"A1",1968,1968,8,"SEBA3",4,1e-04,"FORB","PerennialForb",1,13
"A1",1968,1968,8,"SPORO",5,0.00106225,"GRASS","Cover",1,13
"A1",1969,1969,9,"BOUTE",6,0.00015,"GRASS","",1,11
"A1",1969,1969,9,"PECTI",11,0.000275,"","",1,11
"A1",1969,1969,9,"SEBA3",4,1e-04,"FORB","PerennialForb",1,11
"A1",1969,1969,9,"SPORO",3,0.000411,"GRASS","Cover",1,11
"A1",1971,1971,7,NA,NA,NA,NA,NA,0,29
"A1",1972,1972,8,"SPORO",9,0.0052826,"GRASS","Cover",1,8
"A1",1973,1973,8,"SPORO",12,0.0550266,"GRASS","Cover",1,14
"A1",1974,1974,6,"SPORO",5,0.0112683,"GRASS","Cover",1,28
"A1",1975,1975,8,"SPORO",6,0.02773196,"GRASS","Cover",1,5
"A1",1976,1976,7,"SPORO",10,0.01723643,"GRASS","Cover",1,27
"A1",1977,1977,7,"SPORO",7,0.001326,"GRASS","Cover",1,15
"A1",1995,1995,10,"SELE6",1,0.00010645985094,"GRASS","Cover",1,18
"A1",2001,2001,10,"SELE6",1,0.001750822785652,"GRASS","Cover",1,30
"A1",2006,2006,11,"SELE6",21,0.061403604927822,"GRASS","Cover",1,9
"A1",2006,2006,11,"SPORO",1,0.000464590004122,"GRASS","Cover",1,9
"A1",2011,2011,12,"SELE6",4,0.019348889982304,"GRASS","Cover",1,1
"A1",2016,2016,11,"SELE6",18,0.026049739991524,"GRASS","Cover",1,15
"A2",1915,1915,10,"ARIST",4,0.01265655,"GRASS","",1,13
"A2",1915,1915,10,"ASTRA",6,0.00015,"","",1,13
"A2",1915,1915,10,"BOER4",35,0.03004257,"GRASS","Cover",1,13
"A2",1915,1915,10,"SEBA3",3,7.5e-05,"FORB","PerennialForb",1,13
"A2",1916,1916,9,"ARIST",3,0.01685108,"GRASS","",1,8
"A2",1916,1916,9,"BOER4",25,0.03293036,"GRASS","Cover",1,8
"A2",1916,1916,9,"POJA5",1,2.5e-05,"FORB","PerennialForb",1,8
"A2",1916,1916,9,"SEBA3",2,5e-05,"FORB","PerennialForb",1,8
"A2",1917,1917,9,"ARIST",6,0.01976705,"GRASS","",1,19
"A2",1917,1917,9,"BOER4",33,0.02130712,"GRASS","Cover",1,19
"A2",1917,1917,9,"BOUTE",2,5e-05,"GRASS","",1,19
"A2",1917,1917,9,"ERIOG",5,0.000125,"","",1,19
"A2",1917,1917,9,"EVNU",1,2.5e-05,"FORB","PerennialForb",1,19
"A2",1917,1917,9,"PAHA",1,2.5e-05,"GRASS","Cover",1,19
"A2",1917,1917,9,"PECTI",7,0.000175,"","",1,19
"A2",1917,1917,9,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,19
"A2",1917,1917,9,"SEBA3",2,5e-05,"FORB","PerennialForb",1,19
"A2",1918,1918,9,"ARIST",5,0.00166885,"GRASS","",1,23
"A2",1918,1918,9,"BOER4",8,0.00445127,"GRASS","Cover",1,23
"A2",1918,1918,9,"PECTI",3,7.5e-05,"","",1,23
"A2",1918,1918,9,"POJA5",2,5e-05,"FORB","PerennialForb",1,23
"A2",1919,1919,10,"BOER4",11,0.00366301,"GRASS","Cover",1,17
"A2",1920,1920,10,"ARIST",7,0.0066091,"GRASS","",1,27
"A2",1920,1920,10,"BOER4",9,0.00604201,"GRASS","Cover",1,27
"A2",1920,1920,10,"DANA",5,0.000125,"FORB","PerennialForb",1,27
"A2",1920,1920,10,"ERIOG",15,0.000375,"","",1,27
"A2",1920,1920,10,"PECTI",1,2.5e-05,"","",1,27
"A2",1920,1920,10,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,27
"A2",1921,1921,10,"ARIST",6,0.01085695,"GRASS","",1,20
"A2",1921,1921,10,"BOER4",9,0.01781912,"GRASS","Cover",1,20
"A2",1921,1921,10,"POJA5",2,5e-05,"FORB","PerennialForb",1,20
"A2",1921,1921,10,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,20
"A2",1922,1922,10,"ARIST",3,0.00536205,"GRASS","",1,17
"A2",1922,1922,10,"BOER4",7,0.00401638,"GRASS","Cover",1,17
"A2",1922,1922,10,"POJA5",2,5e-05,"FORB","PerennialForb",1,17
"A2",1923,1923,10,"ARIST",4,0.00296717,"GRASS","",1,25
"A2",1923,1923,10,"BOER4",6,0.0034367,"GRASS","Cover",1,25
"A2",1923,1923,10,"ERIOG",18,0.00045,"","",1,25
"A2",1923,1923,10,"EVNU",1,2.5e-05,"FORB","PerennialForb",1,25
"A2",1923,1923,10,"HAPLO11",1,2.5e-05,"","",1,25
"A2",1923,1923,10,"PECTI",1,2.5e-05,"","",1,25
"A2",1923,1923,10,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,25
"A2",1923,1923,10,"SEBA3",4,1e-04,"FORB","PerennialForb",1,25
"A2",1924,1924,10,"ARIST",3,0.0013318,"GRASS","",1,25
"A2",1924,1924,10,"BOER4",7,0.0040694,"GRASS","Cover",1,25
"A2",1924,1924,10,"ERIOG",3,7.5e-05,"","",1,25
"A2",1924,1924,10,"POJA5",2,5e-05,"FORB","PerennialForb",1,25
"A2",1925,1925,10,"ARIST",1,0.0003369,"GRASS","",1,21
"A2",1925,1925,10,"BOER4",4,0.00238025,"GRASS","Cover",1,21
"A2",1925,1925,10,"BOUTE",3,7.5e-05,"GRASS","",1,21
"A2",1925,1925,10,"CYPER",1,5.8e-05,"GRASS","",1,21
"A2",1925,1925,10,"PECTI",3,7.5e-05,"","",1,21
"A2",1925,1925,10,"POJA5",4,1e-04,"FORB","PerennialForb",1,21
"A2",1925,1925,10,"SEBA3",4,1e-04,"FORB","PerennialForb",1,21
"A2",1926,1926,9,"ARIST",1,0.0032737,"GRASS","",1,15
"A2",1926,1926,9,"BOER4",4,0.00655396,"GRASS","Cover",1,15
"A2",1926,1926,9,"BOUTE",12,3e-04,"GRASS","",1,15
"A2",1926,1926,9,"ERIOG",17,0.000425,"","",1,15
"A2",1926,1926,9,"LESQU",1,2.5e-05,"","",1,15
"A2",1926,1926,9,"MEMU3",1,2.5e-05,"FORB","PerennialForb",1,15
"A2",1926,1926,9,"PECTI",1,2.5e-05,"","",1,15
"A2",1926,1926,9,"PLANT",1,2.5e-05,"","",1,15
"A2",1926,1926,9,"POJA5",5,0.000125,"FORB","PerennialForb",1,15
"A2",1926,1926,9,"SEBA3",2,5e-05,"FORB","PerennialForb",1,15
"A2",1927,1927,9,"ARIST",1,0.00787012,"GRASS","",1,1
"A2",1927,1927,9,"BOER4",14,0.01566,"GRASS","Cover",1,1
"A2",1927,1927,9,"POJA5",5,0.000125,"FORB","PerennialForb",1,1
"A2",1927,1927,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,1
"A2",1928,1928,9,"ARIST",2,0.01543085,"GRASS","",1,18
"A2",1928,1928,9,"BOER4",8,0.0201705,"GRASS","Cover",1,18
"A2",1928,1928,9,"EUPHO",1,2.5e-05,"","",1,18
"A2",1928,1928,9,"PAHA",2,0.0045536,"GRASS","Cover",1,18
"A2",1928,1928,9,"POJA5",5,0.000125,"FORB","PerennialForb",1,18
"A2",1929,1929,9,"ARIST",3,0.02401914,"GRASS","",1,25
"A2",1929,1929,9,"BOER4",8,0.0303428,"GRASS","Cover",1,25
"A2",1929,1929,9,"PAHA",2,0.00492563,"GRASS","Cover",1,25
"A2",1929,1929,9,"POJA5",6,0.00015,"FORB","PerennialForb",1,25
"A2",1930,1930,8,"ARIST",5,0.03609562,"GRASS","",1,29
"A2",1930,1930,8,"BOER4",10,0.02748917,"GRASS","Cover",1,29
"A2",1930,1930,8,"PAHA",1,0.00225149,"GRASS","Cover",1,29
"A2",1930,1930,8,"POJA5",6,0.00015,"FORB","PerennialForb",1,29
"A2",1931,1931,9,"ARIST",7,0.03354399,"GRASS","",1,28
"A2",1931,1931,9,"BOER4",8,0.02587315,"GRASS","Cover",1,28
"A2",1931,1931,9,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,28
"A2",1931,1931,9,"PAHA",1,0.00194246,"GRASS","Cover",1,28
"A2",1931,1931,9,"POJA5",4,1e-04,"FORB","PerennialForb",1,28
"A2",1932,1932,9,"ARIST",5,0.03570838,"GRASS","",1,28
"A2",1932,1932,9,"BOER4",21,0.02752887,"GRASS","Cover",1,28
"A2",1932,1932,9,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,28
"A2",1932,1932,9,"PAHA",2,0.00185551,"GRASS","Cover",1,28
"A2",1932,1932,9,"POJA5",6,0.00015,"FORB","PerennialForb",1,28
"A2",1933,1933,10,"ARIST",9,0.04897783,"GRASS","",1,17
"A2",1933,1933,10,"BOER4",17,0.01385337,"GRASS","Cover",1,17
"A2",1933,1933,10,"PAHA",1,0.00043227,"GRASS","Cover",1,17
"A2",1933,1933,10,"POJA5",2,5e-05,"FORB","PerennialForb",1,17
"A2",1934,1934,10,"ARIST",3,0.01617829,"GRASS","",1,31
"A2",1934,1934,10,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,31
"A2",1934,1934,10,"POJA5",2,5e-05,"FORB","PerennialForb",1,31
"A2",1935,1935,10,"ARIST",1,0.000586,"GRASS","",1,9
"A2",1935,1935,10,"BOER4",2,9.515e-05,"GRASS","Cover",1,9
"A2",1935,1935,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,9
"A2",1935,1935,10,"EUPHO",1,2.5e-05,"","",1,9
"A2",1935,1935,10,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,9
"A2",1935,1935,10,"PLANT",1,2.5e-05,"","",1,9
"A2",1935,1935,10,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,9
"A2",1936,1936,10,"ARIST",1,0.00191032,"GRASS","",1,23
"A2",1936,1936,10,"BOER4",1,8.19e-05,"GRASS","Cover",1,23
"A2",1936,1936,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,23
"A2",1936,1936,10,"ERIOG",1,2.5e-05,"","",1,23
"A2",1936,1936,10,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,23
"A2",1936,1936,10,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,23
"A2",1937,1937,10,"BOER4",1,0.0002838,"GRASS","Cover",1,15
"A2",1937,1937,10,"BOUTE",2,5e-05,"GRASS","",1,15
"A2",1937,1937,10,"DANA",1,2.5e-05,"FORB","PerennialForb",1,15
"A2",1937,1937,10,"EUPHO",4,1e-04,"","",1,15
"A2",1937,1937,10,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,15
"A2",1937,1937,10,"POJA5",3,7.5e-05,"FORB","PerennialForb",1,15
"A2",1937,1937,10,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,15
"A2",1937,1937,10,"SPORO",3,0.0002465,"GRASS","Cover",1,15
"A2",1938,1938,9,"BOER4",2,0.0008629,"GRASS","Cover",1,23
"A2",1938,1938,9,"BOUTE",14,0.00035,"GRASS","",1,23
"A2",1938,1938,9,"EUPHO",1,2.5e-05,"","",1,23
"A2",1938,1938,9,"HOFFM",2,5e-05,"","",1,23
"A2",1938,1938,9,"PECTI",9,0.000225,"","",1,23
"A2",1938,1938,9,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,23
"A2",1938,1938,9,"SPORO",4,0.0012656,"GRASS","Cover",1,23
"A2",1939,1940,1,"BOER4",2,0.0045534,"GRASS","Cover",1,9
"A2",1939,1940,1,"OENOT",1,2.5e-05,"","",1,9
"A2",1939,1940,1,"SPORO",5,0.0031671,"GRASS","Cover",1,9
"A2",1940,1941,2,"BOER4",2,0.00740253,"GRASS","Cover",1,11
"A2",1940,1941,2,"SPORO",2,0.00328118,"GRASS","Cover",1,11
"A2",1941,1942,1,"BOER4",1,0.00429705,"GRASS","Cover",1,8
"A2",1941,1942,1,"SPORO",6,0.00714442,"GRASS","Cover",1,8
"A2",1942,1942,10,"BOER4",2,0.0058383,"GRASS","Cover",1,9
"A2",1942,1942,10,"ERIOG",5,0.000125,"","",1,9
"A2",1942,1942,10,"SPORO",8,0.01989965,"GRASS","Cover",1,9
"A2",1943,1943,12,"ARIST",8,0.00054231,"GRASS","",1,17
"A2",1943,1943,12,"BOER4",3,0.00450295,"GRASS","Cover",1,17
"A2",1943,1943,12,"SPORO",9,0.03345484,"GRASS","Cover",1,17
"A2",1944,1944,9,"ARIST",1,0.0045338,"GRASS","",1,23
"A2",1944,1944,9,"BOER4",1,0.0016303,"GRASS","Cover",1,23
"A2",1944,1944,9,"ERIOG",1,2.5e-05,"","",1,23
"A2",1944,1944,9,"MIRU5",1,2.5e-05,"FORB","PerennialForb",1,23
"A2",1944,1944,9,"SPORO",11,0.0555118,"GRASS","Cover",1,23
"A2",1945,1945,9,"ARIST",1,0.00221661,"GRASS","",1,20
"A2",1945,1945,9,"BOER4",3,0.01296821,"GRASS","Cover",1,20
